u,x,dx,ddx
0.810811,122.576,285.784,-1287.05
0.805793,122.852,284.655,-1270.57
0.798916,123.12,282.84,-1324.35
0.794133,123.392,281.604,-1314.78
0.788243,123.664,280.495,-1293.56
0.781564,123.928,278.697,-1343.29
0.776744,124.196,277.48,-1329.97
0.77058,124.46,275.982,-1346.05
0.765152,124.724,274.638,-1345.1
0.759425,124.988,273.429,-1330.8
0.753244,125.248,271.944,-1345.56
0.748041,125.508,270.604,-1344.24
0.742301,125.764,269,-1369.53
0.737387,126.024,267.958,-1336.01
0.731054,126.276,266.222,-1375.37
0.726352,126.528,264.657,-1393.61
0.721543,126.78,263.252,-1393.97
0.716234,127.036,262.388,-1340.24
0.709546,127.284,260.811,-1363.25
0.704766,127.532,259.389,-1368.37
0.699482,127.78,258.112,-1358.49
0.694098,128.024,256.564,-1376.72
0.689258,128.272,255.573,-1337.46
0.683069,128.512,253.879,-1372.38
0.678812,128.756,252.757,-1346.64
0.673121,128.996,251.347,-1352.18
0.668246,129.236,250.079,-1343.06
0.662899,129.476,248.937,-1322.29
0.657243,129.712,247.511,-1331.94
0.6524,129.944,245.829,-1366.24
0.648361,130.18,244.718,-1339.98
0.64289,130.408,242.914,-1385.66
0.639278,130.644,241.735,-1362.25
0.633714,130.872,240.233,-1375.51
0.629553,131.1,238.883,-1372.18
0.624798,131.328,237.667,-1355.85
0.620013,131.552,236.174,-1368.86
0.615833,131.776,234.832,-1365.45
0.611302,132,233.626,-1348.73
0.606502,132.22,232.138,-1362.01
0.602308,132.44,230.8,-1358.81
0.598246,132.66,229.598,-1342.47
0.593436,132.876,228.117,-1355.55
0.589666,133.092,226.784,-1352.66
0.585405,133.308,225.584,-1336.63
0.580827,133.52,224.107,-1349.96
0.57705,133.732,222.779,-1347.04
0.573022,133.944,221.582,-1331.35
0.568439,134.152,220.107,-1344.98
0.565136,134.36,218.779,-1342.58
0.561103,134.564,217.186,-1366.93
0.558275,134.768,215.744,-1373.63
0.554649,134.972,214.454,-1364.5
0.551019,135.172,212.896,-1383.15
0.547884,135.372,211.495,-1384.26
0.544436,135.572,210.232,-1371.36
0.54075,135.768,208.697,-1386.98
0.537805,135.968,207.719,-1345.43
0.533514,136.16,206.036,-1378.42
0.531148,136.356,204.923,-1351.18
0.527359,136.548,203.523,-1355.33
0.524148,136.74,202.264,-1344.94
0.520897,136.932,201.131,-1323.04
0.517194,137.12,199.71,-1332.19
0.514499,137.308,198.434,-1325.84
0.511281,137.496,197.286,-1307.37
0.507847,137.68,195.853,-1319.2
0.50494,137.864,194.563,-1315.64
0.502226,138.044,193.003,-1339.32
0.500054,138.224,191.602,-1344.82
0.497608,138.404,190.342,-1335.64
0.494599,138.58,188.805,-1355.06
0.492617,138.756,187.424,-1356.96
0.490366,138.932,186.183,-1344.57
0.487557,139.104,184.668,-1360.95
0.485779,139.276,183.301,-1360.83
0.483495,139.444,181.673,-1386.76
0.481937,139.612,180.21,-1393.69
0.480053,139.78,178.895,-1385.12
0.477876,139.944,177.31,-1404.36
0.476511,140.112,176.285,-1365.71
0.473749,140.276,174.964,-1360.49
0.471822,140.436,173.375,-1382.57
0.470671,140.6,172.345,-1346.61
0.468196,140.756,170.619,-1383.86
0.467557,140.916,169.466,-1360.03
0.465532,141.076,168.431,-1326.84
0.46307,141.232,167.098,-1326.76
0.461643,141.388,165.9,-1313.11
0.45971,141.54,164.424,-1328.78
0.45885,141.696,163.495,-1288.03
0.456618,141.844,161.858,-1322.3
0.456039,141.996,160.786,-1296.55
0.454573,142.144,159.423,-1302.5
0.453485,142.292,158.197,-1294.2
0.452328,142.44,157.092,-1274.58
0.450685,142.584,155.699,-1285.67
0.450133,142.732,154.848,-1241.63
0.447988,142.876,153.681,-1233.42
0.446952,143.016,152.23,-1254.57
0.446753,143.16,151.327,-1218.75
0.44495,143.3,150.115,-1217.43
0.444486,143.44,149.023,-1204.26
0.4433,143.576,147.642,-1221.31
0.443205,143.716,146.8,-1182.73
0.44176,143.852,145.642,-1179.56
0.441187,143.984,144.199,-1205.26
0.441451,144.116,142.903,-1213.72
0.441154,144.252,142.137,-1168.3
0.440037,144.38,140.649,-1199.72
0.440396,144.508,139.309,-1213.11
0.440665,144.64,138.504,-1171.6
0.439626,144.764,136.98,-1206.19
0.440506,144.892,136.01,-1181.97
0.440068,145.016,134.736,-1190.55
0.440445,145.136,133.191,-1225.37
0.441607,145.26,132.201,-1201.13
0.441206,145.38,130.912,-1209.36
0.442098,145.5,129.75,-1203.95
0.442251,145.616,128.306,-1227.3
0.443718,145.736,127.407,-1193.81
0.443586,145.852,126.199,-1194.61
0.444315,145.968,125.112,-1183.23
0.445067,146.084,124.135,-1162.01
0.445333,146.196,122.855,-1173.12
0.446684,146.308,121.705,-1170.23
0.447563,146.42,120.669,-1156.15
0.448425,146.532,119.738,-1132.99
0.448599,146.644,118.901,-1102.81
0.449067,146.752,117.749,-1107.21
0.450431,146.864,117.11,-1059.73
0.450497,146.968,115.737,-1090.55
0.452277,147.076,114.902,-1064.4
0.453004,147.184,114.151,-1032.5
0.453538,147.288,113.074,-1036.34
0.454963,147.396,112.507,-988.929
0.455394,147.5,111.597,-980.488
0.456247,147.604,110.779,-963.741
0.457398,147.708,110.041,-940.596
0.458167,147.812,109.379,-912.242
0.459005,147.916,108.783,-880.114
0.459709,148.016,107.848,-885.157
0.461335,148.116,107.005,-880.514
0.462555,148.212,105.848,-907.668
0.465103,148.312,105.207,-880.489
