u,x,dx,ddx
-0.337188,199.892,533.21,-1152.89
-0.371298,200.416,532.005,-1157.46
-0.40996,200.94,530.921,-1149.5
-0.450408,201.456,529.151,-1211.03
-0.484952,201.98,528.36,-1168.4
-0.528388,202.496,526.845,-1202.4
-0.564909,203.012,525.476,-1218.38
-0.603823,203.528,524.253,-1218.22
-0.643819,204.04,522.751,-1245.97
-0.681528,204.552,521.401,-1255.75
-0.720537,205.06,519.78,-1291.57
-0.757777,205.572,518.726,-1267.07
-0.800224,206.076,516.982,-1314.13
-0.835972,206.584,515.815,-1298.79
-0.877491,207.084,513.955,-1354.22
-0.913179,207.588,512.685,-1345.06
-0.954214,208.088,511.149,-1363.47
-0.99279,208.588,509.767,-1364.52
-1.03331,209.084,508.114,-1392.7
-1.07132,209.58,506.633,-1400.81
-1.1111,210.072,504.901,-1433.1
-1.14885,210.568,503.747,-1404.44
-1.1919,211.056,501.904,-1447.59
-1.22871,211.544,500.247,-1467.8
-1.26779,212.028,498.36,-1508.91
-1.30463,212.516,497.062,-1487.04
-1.34726,213,495.49,-1494.76
-1.38696,213.48,493.677,-1525.77
-1.42552,213.964,492.446,-1495.5
-1.46907,214.44,490.543,-1535.38
-1.50645,214.916,488.827,-1552.68
-1.54615,215.388,486.888,-1590.47
-1.58365,215.86,485.145,-1604.9
-1.62303,216.332,483.577,-1600.36
-1.66424,216.804,482.159,-1581.29
-1.70741,217.272,480.487,-1589.54
-1.74815,217.736,478.586,-1619.8
-1.78628,218.2,476.875,-1628.07
-1.82707,218.664,475.331,-1618.85
-1.86958,219.128,473.946,-1594.55
-1.91294,219.584,471.902,-1638.69
-1.95142,220.04,470.064,-1657.75
-1.99154,220.496,468.402,-1657.26
-2.0331,220.948,466.516,-1679.3
-2.0732,221.4,464.82,-1680.08
-2.11481,221.848,462.888,-1704.37
-2.15493,222.296,461.154,-1706.41
-2.19622,222.74,459.196,-1730.71
-2.23646,223.18,457.034,-1772.85
-2.2747,223.62,455.084,-1789.67
-2.31467,224.056,452.935,-1824.65
-2.3534,224.492,451.001,-1834.56
-2.39384,224.928,449.264,-1823.91
-2.43618,225.356,446.897,-1877.19
-2.47319,225.784,444.771,-1901.06
-2.51245,226.208,442.459,-1941.2
-2.5502,226.632,440.379,-1954.02
-2.58982,227.052,438.105,-1985.02
-2.62828,227.472,436.062,-1989.77
-2.66892,227.892,434.225,-1973.38
-2.71084,228.304,431.774,-2020.12
-2.74822,228.716,429.564,-2038.07
-2.78755,229.128,427.58,-2031.58
